timestamp,speed,cadence,heart_rate,temperature,distance,altitude,power
2020-08-21 23:40:10,,,,,,,
2020-08-21 23:40:11,3.894,,103.0,,0.0,,
2020-08-21 23:40:12,4.552,,103.0,,3.98,,
2020-08-21 23:40:13,4.659,,104.0,,8.84,,
2020-08-21 23:40:14,4.782,,104.0,,13.83,,
2020-08-21 23:40:15,4.831,,103.0,,19.01,,
2020-08-21 23:40:16,4.688,,103.0,,23.59,,
2020-08-21 23:40:17,4.668,0.0,102.0,,28.18,,0.0
2020-08-21 23:40:18,5.033,53.0,101.0,,33.39,,110.0
2020-08-21 23:40:19,5.162,34.0,101.0,,38.65,,70.0
2020-08-21 23:40:20,5.191,14.0,101.0,,43.85,,31.0
2020-08-21 23:40:21,5.114,0.0,103.0,,48.98,,0.0
2020-08-21 23:40:22,4.908,0.0,104.0,,54.32,,0.0
2020-08-21 23:40:23,4.984,37.0,103.0,,59.31,,71.0
2020-08-21 23:40:24,5.331,70.0,103.0,,64.96,,69.0
2020-08-21 23:40:25,4.93,37.0,102.0,,69.84,,37.0
2020-08-21 23:40:26,4.913,5.0,102.0,,74.81,,5.0
2020-08-21 23:40:27,5.036,0.0,102.0,,79.82,,0.0
2020-08-21 23:40:28,4.031,0.0,101.0,,84.34,,0.0
2020-08-21 23:40:29,4.102,0.0,100.0,,88.62,,0.0
2020-08-21 23:40:30,4.664,0.0,99.0,,93.36,,0.0
2020-08-21 23:40:31,4.559,0.0,98.0,,98.33,,0.0
2020-08-21 23:40:32,4.102,0.0,97.0,,103.02,,0.0
2020-08-21 23:40:33,3.593,0.0,98.0,,107.16,,0.0
2020-08-21 23:40:34,3.175,0.0,98.0,,110.75,,0.0
2020-08-21 23:40:35,2.98,0.0,99.0,,113.91,,0.0
2020-08-21 23:40:36,3.217,0.0,98.0,,117.26,,0.0
2020-08-21 23:40:37,3.233,23.0,97.0,,120.77,,33.0
2020-08-21 23:40:38,3.874,56.0,97.0,,124.56,,98.0
2020-08-21 23:40:39,4.206,63.0,96.0,,128.77,,147.0
2020-08-21 23:40:40,4.788,69.0,96.0,,133.28,,155.0
2020-08-21 23:40:41,4.999,74.0,97.0,,138.09,,135.0
2020-08-21 23:40:42,4.965,79.0,99.0,,143.18,,91.0
2020-08-21 23:40:43,4.907,79.0,100.0,,148.06,,97.0
2020-08-21 23:40:44,5.001,77.0,102.0,,153.06,,135.0
2020-08-21 23:40:45,5.203,77.0,103.0,,158.24,,135.0
2020-08-21 23:40:46,5.21,79.0,104.0,,163.56,,128.0
2020-08-21 23:40:47,5.183,81.0,104.0,,168.8,,72.0
2020-08-21 23:40:48,5.173,81.0,104.0,,174.15,,111.0
2020-08-21 23:40:49,5.279,81.0,104.0,,179.18,,93.0
2020-08-21 23:40:50,5.144,81.0,104.0,,184.62,,58.0
2020-08-21 23:40:51,4.99,68.0,103.0,,189.77,,47.0
2020-08-21 23:40:52,4.795,32.0,103.0,,194.79,,22.0
2020-08-21 23:40:53,4.541,0.0,103.0,,199.56,,0.0
2020-08-21 23:40:54,4.476,51.0,102.0,,204.15,778.8,82.0
2020-08-21 23:40:55,4.561,65.0,102.0,,208.58,778.8,100.0
2020-08-21 23:40:56,4.589,69.0,103.0,,213.16,778.8,104.0
2020-08-21 23:40:57,4.699,71.0,103.0,,217.88,778.8,107.0
2020-08-21 23:40:58,4.669,72.0,104.0,,222.65,779.0,72.0
2020-08-21 23:40:59,4.591,64.0,104.0,,227.26,779.0,83.0
